iter	Passed	Remaining
245	7628	23381
246	7663	23363
247	7696	23338
248	7729	23313
249	7763	23291
250	7773	23196
251	7807	23174
252	7841	23153
253	7875	23131
254	7907	23102
255	7940	23075
256	7974	23054
257	8006	23027
258	8040	23004
259	8076	22987
260	8109	22962
261	8143	22939
262	8178	22917
263	8212	22894
264	8246	22872
265	8285	22862
266	8323	22849
267	8324	22736
268	8359	22717
269	8394	22695
270	8428	22673
271	8463	22651
272	8498	22631
273	8534	22612
274	8567	22588
275	8601	22563
276	8634	22536
277	8669	22515
278	8702	22488
279	8736	22464
280	8769	22438
281	8802	22412
282	8835	22385
283	8869	22361
284	8904	22338
285	8937	22311
286	8970	22284
287	9004	22260
288	9037	22235
289	9072	22211
290	9106	22186
291	9140	22162
292	9175	22140
293	9209	22114
294	9243	22090
295	9278	22067
296	9313	22044
297	9347	22020
298	9383	21998
299	9416	21970
300	9449	21943
301	9486	21925
302	9487	21823
303	9522	21801
304	9557	21777
305	9591	21754
306	9627	21733
307	9660	21705
308	9696	21682
309	9728	21652
310	9760	21624
311	9796	21602
312	9831	21579
313	9864	21550
314	9898	21525
315	9930	21496
316	9963	21467
317	9973	21389
318	10005	21359
319	10039	21332
320	10072	21306
321	10107	21283
322	10141	21256
323	10177	21234
324	10211	21208
325	10245	21182
326	10280	21159
327	10315	21133
328	10350	21109
329	10384	21083
330	10420	21061
331	10455	21036
332	10492	21015
333	10527	20992
334	10561	20965
335	10593	20935
336	10627	20908
337	10662	20882
338	10696	20857
339	10729	20828
340	10764	20803
341	10797	20773
342	10831	20748
343	10874	20736
344	10909	20712
345	10945	20688
346	10978	20660
347	11011	20631
348	11045	20604
349	11081	20579
350	11115	20552
351	11151	20528
352	11186	20502
353	11221	20477
354	11255	20450
355	11290	20424
356	11323	20395
357	11357	20367
358	11397	20350
359	11437	20333
360	11473	20309
361	11508	20282
362	11542	20255
363	11579	20232
364	11613	20203
365	11647	20175
366	11680	20146
367	11713	20117
368	11747	20087
369	11780	20058
370	11816	20033
371	11849	20004
372	11884	19978
373	11918	19949
374	11956	19928
375	11989	19898
376	12022	19867
377	12055	19838
378	12090	19809
379	12123	19779
380	12157	19752
381	12193	19726
382	12228	19699
383	12266	19676
384	12301	19649
385	12336	19623
386	12370	19593
387	12404	19565
388	12438	19537
389	12475	19512
390	12512	19488
391	12547	19460
392	12581	19433
393	12614	19401
394	12648	19372
395	12682	19343
396	12715	19313
397	12748	19283
398	12782	19253
399	12815	19222
400	12848	19193
401	12881	19162
402	12916	19134
403	12949	19103
404	12982	19073
405	13016	19043
406	13052	19017
407	13088	18990
408	13122	18961
409	13140	18909
410	13175	18881
411	13210	18854
412	13244	18824
413	13278	18794
414	13314	18768
415	13349	18740
416	13382	18710
417	13417	18681
418	13452	18653
419	13469	18601
420	13504	18572
421	13538	18543
422	13573	18515
423	13606	18484
424	13639	18452
425	13673	18424
426	13706	18393
427	13739	18362
428	13772	18331
429	13806	18301
430	13839	18270
431	13879	18248
432	13912	18218
433	13946	18187
434	13978	18156
435	14013	18127
436	14046	18096
437	14081	18067
438	14115	18038
439	14149	18008
440	14183	17978
441	14217	17948
442	14253	17920
443	14285	17889
444	14321	17861
445	14355	17831
446	14390	17803
447	14424	17772
448	14458	17743
449	14493	17714
450	14528	17685
451	14563	17656
452	14597	17626
453	14630	17594
454	14663	17563
455	14695	17531
456	14728	17500
457	14763	17471
458	14797	17441
459	14830	17409
460	14862	17377
461	14896	17346
462	14929	17315
463	14963	17285
464	14996	17253
465	15029	17222
466	15063	17192
467	15097	17162
468	15132	17133
469	15166	17102
470	15201	17073
471	15219	17024
472	15254	16995
473	15287	16964
474	15321	16934
475	15355	16904
476	15389	16874
477	15424	16843
478	15460	16816
479	15494	16786
480	15529	16756
481	15563	16726
482	15596	16694
483	15630	16663
484	15662	16631
485	15696	16600
486	15729	16569
487	15764	16539
488	15798	16508
489	15831	16477
490	15865	16446
491	15897	16414
492	15931	16383
493	15964	16352
494	15999	16322
495	16034	16292
496	16069	16263
497	16104	16233
498	16138	16203
499	16172	16172
500	16207	16142
501	16243	16114
502	16278	16083
503	16312	16053
504	16347	16023
505	16389	16001
506	16430	15976
507	16466	15947
508	16500	15916
509	16534	15886
510	16569	15855
511	16604	15825
512	16638	15795
513	16671	15763
514	16704	15731
515	16738	15700
516	16773	15670
517	16810	15641
518	16849	15615
519	16886	15587
520	16924	15559
521	16960	15530
522	16996	15501
523	17031	15471
524	17065	15440
525	17099	15409
526	17134	15378
527	17169	15348
528	17204	15317
529	17238	15286
530	17273	15256
531	17308	15225
532	17341	15194
533	17376	15164
534	17411	15132
535	17447	15103
536	17482	15073
537	17517	15042
538	17552	15012
539	17586	14981
540	17620	14949
541	17653	14917
542	17687	14886
543	17721	14855
544	17755	14823
545	17787	14790
546	17821	14759
547	17853	14726
548	17888	14694
549	17921	14662
550	17954	14630
551	17988	14599
552	18022	14568
553	18059	14539
554	18121	14530
555	18194	14529
556	18231	14500
557	18267	14469
558	18301	14438
559	18334	14405
560	18374	14378
561	18409	14347
562	18445	14317
563	18480	14286
564	18516	14256
565	18550	14224
566	18583	14191
567	18617	14160
568	18650	14127
569	18684	14094
570	18719	14064
571	18752	14031
572	18787	14000
573	18820	13968
574	18852	13934
575	18884	13901
576	18917	13868
577	18951	13836
578	18968	13792
579	19004	13761
580	19038	13729
581	19072	13698
582	19106	13666
583	19140	13634
584	19175	13603
585	19209	13571
586	19243	13539
587	19277	13507
588	19312	13475
589	19346	13443
590	19380	13412
591	19416	13381
592	19450	13349
593	19484	13317
594	19518	13285
595	19553	13254
596	19587	13222
597	19619	13188
598	19652	13156
599	19685	13123
600	19719	13091
601	19753	13059
602	19787	13027
603	19820	12995
604	19854	12962
605	19888	12930
606	19921	12897
607	19954	12865
608	19987	12832
609	20021	12800
610	20055	12768
611	20091	12737
612	20125	12705
613	20160	12673
614	20197	12644
615	20232	12612
616	20265	12580
617	20299	12547
618	20333	12515
619	20367	12483
620	20402	12452
621	20438	12420
622	20473	12389
623	20508	12357
624	20543	12326
625	20577	12293
626	20611	12261
627	20645	12229
628	20677	12196
629	20711	12163
630	20744	12131
631	20777	12098
632	20811	12065
633	20844	12033
634	20877	12000
635	20912	11968
636	20945	11935
637	20979	11903
638	21013	11871
639	21048	11839
640	21082	11807
641	21117	11775
642	21151	11743
643	21186	11711
644	21224	11681
645	21261	11650
646	21294	11618
647	21330	11586
648	21364	11554
649	21399	11522
650	21434	11491
651	21468	11458
652	21502	11426
653	21537	11394
654	21571	11361
655	21604	11329
656	21638	11296
657	21671	11263
658	21703	11230
659	21737	11198
660	21755	11157
661	21789	11125
662	21823	11092
663	21856	11059
664	21888	11026
665	21922	10994
666	21956	10961
667	21994	10931
668	22030	10899
669	22064	10867
670	22099	10835
671	22134	10803
672	22168	10771
673	22204	10739
674	22239	10707
675	22274	10676
676	22309	10643
677	22343	10611
678	22377	10579
679	22427	10554
680	22462	10522
681	22496	10489
682	22531	10457
683	22569	10426
684	22604	10394
685	22638	10362
686	22671	10329
687	22704	10296
688	22738	10263
689	22755	10223
690	22788	10190
691	22820	10157
692	22853	10123
693	22854	10077
694	22887	10043
695	22920	10011
696	22954	9978
697	22987	9946
698	23021	9913
699	23055	9880
700	23057	9834
701	23090	9801
702	23125	9769
703	23158	9737
704	23193	9705
705	23228	9672
706	23263	9641
707	23297	9608
708	23332	9576
709	23367	9544
710	23401	9511
711	23436	9479
712	23470	9447
713	23502	9414
714	23536	9381
715	23553	9342
716	23586	9309
717	23620	9277
718	23654	9244
719	23686	9211
720	23719	9178
721	23756	9147
722	23790	9114
723	23823	9081
724	23859	9049
725	23892	9017
726	23927	8985
727	23960	8952
728	23994	8919
729	24029	8887
730	24063	8854
731	24096	8822
732	24131	8789
733	24166	8757
734	24200	8725
735	24236	8693
736	24269	8660
737	24303	8627
738	24338	8595
739	24372	8563
740	24406	8530
741	24442	8498
742	24477	8466
743	24512	8434
744	24547	8402
745	24579	8368
746	24612	8335
747	24645	8303
748	24677	8269
749	24709	8236
750	24744	8204
751	24776	8170
752	24809	8138
753	24843	8105
754	24876	8072
755	24909	8039
756	24943	8007
757	24977	7974
758	25011	7941
759	25045	7909
760	25079	7876
761	25113	7843
762	25148	7811
763	25182	7778
764	25216	7746
765	25251	7713
766	25284	7681
767	25319	7648
768	25353	7616
769	25389	7583
770	25424	7551
771	25457	7518
772	25492	7486
773	25526	7453
774	25559	7420
775	25593	7387
776	25626	7354
777	25660	7322
778	25690	7288
779	25723	7255
780	25761	7223
781	25794	7190
782	25827	7157
783	25845	7120
784	25880	7088
785	25923	7058
786	25962	7026
787	26005	6996
788	26042	6964
789	26080	6932
790	26113	6899
791	26149	6867
792	26184	6835
793	26218	6802
794	26252	6769
795	26287	6737
796	26321	6704
797	26357	6671
798	26391	6639
799	26426	6606
800	26462	6574
801	26496	6541
802	26529	6508
803	26563	6475
804	26597	6442
805	26630	6409
806	26640	6371
807	26673	6338
808	26706	6305
809	26739	6272
810	26772	6239
811	26806	6206
812	26839	6173
813	26873	6140
814	26906	6107
815	26942	6075
816	26976	6042
817	27011	6009
818	27045	5977
819	27078	5944
820	27112	5911
821	27146	5878
822	27180	5845
823	27212	5812
824	27248	5780
825	27286	5748
826	27324	5716
827	27359	5683
828	27396	5651
829	27418	5615
830	27456	5583
831	27491	5551
832	27526	5518
833	27560	5485
834	27596	5453
835	27629	5420
836	27663	5387
837	27680	5351
838	27713	5318
839	27747	5285
840	27782	5252
841	27816	5219
842	27849	5186
843	27883	5153
844	27915	5120
845	27949	5087
846	27982	5054
847	28016	5021
848	28049	4988
849	28083	4955
850	28120	4923
851	28129	4886
852	28163	4853
853	28196	4820
854	28230	4787
855	28264	4754
856	28298	4721
857	28332	4689
858	28341	4652
859	28376	4619
860	28412	4586
861	28446	4554
862	28480	4521
863	28515	4488
864	28548	4455
865	28582	4422
866	28615	4389
867	28647	4356
868	28681	4323
869	28715	4290
870	28747	4257
871	28782	4224
872	28815	4191
873	28848	4158
874	28882	4126
875	28916	4093
876	28949	4060
877	28983	4027
878	29017	3994
879	29052	3961
880	29085	3928
881	29120	3895
882	29138	3860
883	29172	3828
884	29205	3795
885	29239	3762
886	29274	3729
887	29308	3696
888	29343	3663
889	29379	3631
890	29413	3598
891	29449	3565
892	29483	3532
893	29516	3499
894	29550	3466
895	29583	3433
896	29588	3397
897	29621	3364
898	29656	3331
899	29658	3295
900	29690	3262
901	29725	3229
902	29757	3196
903	29790	3163
904	29823	3130
905	29856	3097
906	29890	3064
907	29923	3031
908	29957	2998
909	29991	2966
910	30024	2933
911	30059	2900
912	30094	2867
913	30129	2834
914	30162	2802
915	30196	2769
916	30230	2736
917	30265	2703
918	30299	2670
919	30333	2637
920	30367	2604
921	30402	2572
922	30438	2539
923	30472	2506
924	30508	2473
925	30540	2440
926	30574	2407
927	30608	2374
928	30641	2341
929	30674	2308
930	30707	2275
931	30742	2242
932	30778	2210
933	30814	2177
934	30850	2144
935	30887	2111
936	30927	2079
937	30962	2046
938	30996	2013
939	31030	1980
940	31067	1947
941	31101	1914
942	31135	1882
943	31170	1849
944	31206	1816
945	31240	1783
946	31243	1748
947	31279	1715
948	31298	1682
949	31332	1649
950	31368	1616
951	31403	1583
952	31438	1550
953	31481	1517
954	31514	1484
955	31547	1451
956	31580	1418
957	31614	1386
958	31646	1352
959	31649	1318
960	31685	1285
961	31719	1252
962	31752	1219
963	31786	1187
964	31820	1154
965	31854	1121
966	31888	1088
967	31921	1055
968	31956	1022
969	31992	989
970	32026	956
971	32061	923
972	32102	890
973	32137	857
974	32170	824
975	32205	791
976	32248	759
977	32283	726
978	32316	693
979	32353	660
980	32389	627
981	32423	594
982	32457	561
983	32492	528
984	32526	495
985	32560	462
986	32592	429
987	32625	396
988	32657	363
989	32690	330
990	32724	297
991	32757	264
992	32790	231
993	32823	198
994	32857	165
995	32892	132
996	32926	99
997	32961	66
998	32996	33
999	33032	0
