iter	RMSE
237	0.1496361162
238	0.1494148008
239	0.1490921753
240	0.1487868737
241	0.1485187876
242	0.1482799376
243	0.1482158419
244	0.1482004037
245	0.1479781078
246	0.1476136669
247	0.1473111358
248	0.1471248195
249	0.1468001251
250	0.1466678432
251	0.1462921038
252	0.1459368689
253	0.1458642521
254	0.145581968
255	0.1453808168
256	0.1451164431
257	0.1449300699
258	0.1445451302
259	0.1443306132
260	0.144086974
261	0.143889475
262	0.1437349213
263	0.1433768095
264	0.1431069477
265	0.1429998802
266	0.1424850363
267	0.1424574023
268	0.1421385787
269	0.1418089568
270	0.1416257303
271	0.1414377474
272	0.1411590099
273	0.1408806311
274	0.1406657447
275	0.1402201631
276	0.1399106473
277	0.1397041553
278	0.1395630592
279	0.1393496692
280	0.1392579253
281	0.1389319976
282	0.1385876303
283	0.1382633103
284	0.1379411561
285	0.1376285841
286	0.1373791716
287	0.1371510728
288	0.1369281739
289	0.1366765756
290	0.1364639287
291	0.1361955921
292	0.1358026547
293	0.1354926439
294	0.1352017607
295	0.1349372129
296	0.1346201563
297	0.1343455812
298	0.1339982118
299	0.1338534881
300	0.1336805921
301	0.133548736
302	0.1335271509
303	0.1333729684
304	0.1331677755
305	0.1330510338
306	0.1329096109
307	0.1327187072
308	0.1324248832
309	0.1321186748
310	0.1319362568
311	0.1317579308
312	0.1316943211
313	0.1315574078
314	0.1313942814
315	0.1312145408
316	0.131024109
317	0.1309605877
318	0.1307878856
319	0.1305600466
320	0.1302775607
321	0.1301517682
322	0.1300060454
323	0.1299220832
324	0.1298037642
325	0.1296582663
326	0.1294709508
327	0.1292756199
328	0.1291373434
329	0.1289866177
330	0.1289360686
331	0.1287609619
332	0.1285804845
333	0.1284682665
334	0.1282828059
335	0.1282368099
336	0.1278867491
337	0.1277017288
338	0.127421798
339	0.1270749616
340	0.127021134
341	0.1267894096
342	0.1267000364
343	0.1266292662
344	0.126333534
345	0.1262039955
346	0.1260257025
347	0.1258510681
348	0.1257769734
349	0.1257197678
350	0.1256670422
351	0.1254148014
352	0.1253532499
353	0.1251814508
354	0.1250139339
355	0.1247320484
356	0.1245717434
357	0.1245104342
358	0.1244520371
359	0.1243735627
360	0.1242382321
361	0.1241086309
362	0.1239994799
363	0.1239585601
364	0.1238421832
365	0.1236476562
366	0.1235875115
367	0.1235400693
368	0.1232733102
369	0.1232041073
370	0.1231585049
371	0.1231024511
372	0.1229162258
373	0.1226788451
374	0.1224390663
375	0.12228684
376	0.122131327
377	0.1218575414
378	0.1217186349
379	0.1214830748
380	0.121451909
381	0.1213980515
382	0.1211719174
383	0.1211021146
384	0.1210294728
385	0.1209981309
386	0.1207961788
387	0.120619632
388	0.1205422305
389	0.1204469073
390	0.1202719786
391	0.1202284531
392	0.1199080291
393	0.1197608241
394	0.1197360633
395	0.119604353
396	0.1195434737
397	0.1193416439
398	0.1190993933
399	0.1189492971
400	0.1186876748
401	0.1185394039
402	0.1182789398
403	0.117948008
404	0.1176864199
405	0.1175673509
406	0.117433449
407	0.1172601384
408	0.1170213873
409	0.1169376959
410	0.1168467705
411	0.1165961425
412	0.1165602447
413	0.1163949658
414	0.1161992099
415	0.1160063912
416	0.1159279634
417	0.1157901807
418	0.1156402405
419	0.1155511947
420	0.115390982
421	0.1151091913
422	0.1147841795
423	0.1145884362
424	0.114436015
425	0.1144013962
426	0.1142587054
427	0.1141275828
428	0.1140940648
429	0.1140544963
430	0.1139275014
431	0.1137045919
432	0.1134908889
433	0.1132838008
434	0.1130628395
435	0.113017102
436	0.112878585
437	0.1127525396
438	0.1126138646
439	0.1125105324
440	0.1123748488
441	0.1120697299
442	0.1120471628
443	0.1118933725
444	0.1117104129
445	0.1115549773
446	0.1113484113
447	0.1110522705
448	0.1110226052
449	0.1109918862
450	0.1107657447
451	0.1106259147
452	0.110538888
453	0.1104905523
454	0.1102786376
455	0.1102274145
456	0.1101378243
457	0.1101160608
458	0.1100981792
459	0.1100548008
460	0.1098294902
461	0.1098100695
462	0.1097008951
463	0.1096492582
464	0.1095469053
465	0.1094867267
466	0.1093555569
467	0.1092115896
468	0.1090032743
469	0.1088109881
470	0.1087236414
471	0.1086633277
472	0.1086454351
473	0.1085837579
474	0.1083450546
475	0.1082007935
476	0.108117831
477	0.108059445
478	0.1079459364
479	0.1079291551
480	0.1078145162
481	0.107770125
482	0.1075837016
483	0.1074048536
484	0.107253257
485	0.1070325681
486	0.1068893269
487	0.1067763326
488	0.1066171758
489	0.1065974031
490	0.1064130659
491	0.1063746593
492	0.1063287256
493	0.1062840426
494	0.1062284287
495	0.106067008
496	0.1060187459
497	0.1058961609
498	0.1058768231
499	0.1057188709
500	0.1056037226
501	0.1054784614
502	0.1053164203
503	0.1051984027
504	0.1050958013
505	0.1050746479
506	0.1049466677
507	0.1048306058
508	0.104595596
509	0.1044907779
510	0.1043834331
511	0.1042849072
512	0.1041900397
513	0.1041518515
514	0.1040300222
515	0.1038235012
516	0.1037163494
517	0.1036424722
518	0.1035990595
519	0.1034536751
520	0.1032842084
521	0.1031301914
522	0.1030430283
523	0.1028763459
524	0.1028312287
525	0.102710422
526	0.102581043
527	0.1023594654
528	0.1022851862
529	0.1021369621
530	0.1020366895
531	0.1018907283
532	0.101853424
533	0.1017642628
534	0.1016388689
535	0.1015490196
536	0.1014130634
537	0.1013656042
538	0.1012285754
539	0.101085689
540	0.1009460673
541	0.1008684891
542	0.1007526447
543	0.1007305443
544	0.1006870967
545	0.1006035896
546	0.1005180912
547	0.1004882602
548	0.1003953125
549	0.1003547823
550	0.1002907924
551	0.1002336587
552	0.1002011701
553	0.1001098349
554	0.09993709087
555	0.09985430276
556	0.09978339491
557	0.09966933001
558	0.09961631577
559	0.09959305374
560	0.09953200121
561	0.09942174159
562	0.09929211309
563	0.09927549587
564	0.09913078695
565	0.09902704592
566	0.09900456205
567	0.09892824745
568	0.09885102157
569	0.09883364127
570	0.09868665531
571	0.09864415059
572	0.0985610768
573	0.09850747489
574	0.09839283803
575	0.09829090806
576	0.09819067514
577	0.09805231552
578	0.09802137078
579	0.09796877602
580	0.0977997325
581	0.09771975008
582	0.0976691811
583	0.09746448481
584	0.09735314737
585	0.09729861773
586	0.09715796156
587	0.09707364514
588	0.09704980888
589	0.09697287758
590	0.09686288468
591	0.09672520035
592	0.09670811131
593	0.09666410392
594	0.09651310971
595	0.09642450854
596	0.09626994348
597	0.09615348091
598	0.09602428593
599	0.09588829522
600	0.09582027657
601	0.09578537716
602	0.09572838376
603	0.09566253783
604	0.09559571801
605	0.09557802135
606	0.09548498007
607	0.09534777871
608	0.09528616783
609	0.09512836381
610	0.09505629054
611	0.0949590234
612	0.09484433352
613	0.09473403465
614	0.094649849
615	0.0945791553
616	0.09453940561
617	0.09452057633
618	0.09446651259
619	0.09439432378
620	0.09428047642
621	0.09425631409
622	0.09415358232
623	0.09401251087
624	0.09399331667
625	0.09387888415
626	0.09374992413
627	0.09359890336
628	0.09356014183
629	0.09345115198
630	0.0933634879
631	0.0933252988
632	0.09325177139
633	0.09317670666
634	0.09314637743
635	0.09300121344
636	0.09290387712
637	0.09288379395
638	0.09282254646
639	0.09270115856
640	0.09253532391
641	0.09247509625
642	0.09232419214
643	0.09224655822
644	0.09222413545
645	0.09209522183
646	0.09201901296
647	0.09188244922
648	0.09180221886
649	0.09173652142
650	0.09166085461
651	0.09162788128
652	0.09155661767
653	0.09147074921
654	0.09134574131
655	0.09125171662
656	0.09124660561
657	0.09115876845
658	0.0910574873
659	0.0909659033
660	0.09090913821
661	0.0908722283
662	0.09080154449
663	0.09077199875
664	0.09068478038
665	0.0905882042
666	0.09043505827
667	0.0903519574
668	0.09023724696
669	0.09015519685
670	0.09007513074
671	0.09000968467
672	0.08987126113
673	0.08975299199
674	0.08970108863
675	0.08967373392
676	0.08965385404
677	0.08959164602
678	0.08949422916
679	0.08945604898
680	0.08941430097
681	0.08934690669
682	0.08920892329
683	0.08912087942
684	0.08899582414
685	0.08892516867
686	0.0888801294
687	0.08877627945
688	0.08868566544
689	0.0886626197
690	0.08859692106
691	0.08849678512
692	0.08840806301
693	0.0884040255
694	0.08837805375
695	0.08834038971
696	0.08830140007
697	0.08822617347
698	0.08818080464
699	0.08813323069
700	0.088129739
701	0.08802714234
702	0.08797456875
703	0.08791215775
704	0.08784569993
705	0.08765616231
706	0.08759749772
707	0.08752275858
708	0.0874983033
709	0.08748716423
710	0.08741361008
711	0.08728251406
712	0.0871801856
713	0.08702633272
714	0.08697505046
715	0.08694616457
716	0.08686086247
717	0.08679569291
718	0.08674180081
719	0.08666922808
720	0.08653145728
721	0.0864731075
722	0.08645266441
723	0.08643505866
724	0.08642091609
725	0.086401833
726	0.08633168571
727	0.08626505518
728	0.08610850226
729	0.0860463468
730	0.08594668422
731	0.08591111436
732	0.08588015128
733	0.08583442773
734	0.08575919929
735	0.0857300809
736	0.08565844154
737	0.08549434351
738	0.08544653924
739	0.08537437149
740	0.08530385868
741	0.08516703887
742	0.08508992675
743	0.08495243843
744	0.08490604763
745	0.08481314759
746	0.08474184726
747	0.08468438457
748	0.08467466841
749	0.08466640574
750	0.08450429317
751	0.08446092627
752	0.08438738904
753	0.08428492255
754	0.08423445459
755	0.08416881782
756	0.08414287621
757	0.08402229852
758	0.08390817667
759	0.08383334088
760	0.08377878843
761	0.08370296854
762	0.08357203748
763	0.08350254431
764	0.083431811
765	0.08337016799
766	0.08326237672
767	0.08316745352
768	0.08308300463
769	0.08303202189
770	0.08300156964
771	0.08287007753
772	0.08279254844
773	0.08271674365
774	0.08269862517
775	0.08265584449
776	0.08254014632
777	0.08246491856
778	0.08242987373
779	0.08237620691
780	0.08232639056
781	0.08221829418
782	0.08219350618
783	0.08215001908
784	0.08210552358
785	0.08198426421
786	0.0818495701
787	0.08176331059
788	0.08168892911
789	0.08163100341
790	0.08154395921
791	0.08146383679
792	0.08139839161
793	0.08134653219
794	0.08132011814
795	0.08130191547
796	0.08121584636
797	0.08114280081
798	0.08103389693
799	0.08098302936
800	0.08088550906
801	0.08080853095
802	0.0807645245
803	0.0806960951
804	0.08066937477
805	0.08062092739
806	0.08058613926
807	0.08051734968
808	0.08048924071
809	0.0803708162
810	0.0803483206
811	0.08022573241
812	0.08020313954
813	0.08016177636
814	0.08009850266
815	0.0800818991
816	0.08001398046
817	0.07997650692
818	0.07988469299
819	0.07986383997
820	0.07979043012
821	0.0797527916
822	0.07971114941
823	0.07964573443
824	0.07963724259
825	0.07962158615
826	0.07954751902
827	0.07950372008
828	0.0794727515
829	0.07942937038
830	0.07935839644
831	0.07934946073
832	0.07931905333
833	0.07930235488
834	0.07927556256
835	0.07923750569
836	0.07910020698
837	0.07906705856
838	0.07904521407
839	0.07891108734
840	0.07882327695
841	0.07876464331
842	0.07864801228
843	0.07863923888
844	0.07860302174
845	0.07849404052
846	0.07841662127
847	0.07834855592
848	0.07828058113
849	0.07826133354
850	0.07815175278
851	0.07812719187
852	0.07807738697
853	0.07801424767
854	0.07794838401
855	0.07792880725
856	0.07785819935
857	0.07780118324
858	0.07776813098
859	0.07765725027
860	0.07755191435
861	0.07753613775
862	0.0774729769
863	0.0774336275
864	0.07740468734
865	0.07734101599
866	0.07726549948
867	0.07719892796
868	0.07707688226
869	0.07705422841
870	0.07701139796
871	0.07699708766
872	0.07695206444
873	0.07688264489
874	0.0768525382
875	0.07681040138
876	0.07676692804
877	0.07672238471
878	0.07668691629
879	0.07654770695
880	0.07647533406
881	0.0764212479
882	0.07638585549
883	0.07633307076
884	0.07630463324
885	0.07624865148
886	0.07622051606
887	0.07617530569
888	0.07608865624
889	0.0760420164
890	0.07601695074
891	0.07600570107
892	0.07592313079
893	0.07580869026
894	0.07580122668
895	0.07575539725
896	0.07572728197
897	0.07566222247
898	0.07562157739
899	0.07561158608
900	0.0755024825
901	0.07546017643
902	0.07540953069
903	0.07536288826
904	0.07532091164
905	0.07524081561
906	0.07519302491
907	0.07514239494
908	0.07512896799
909	0.07508950509
910	0.07497445306
911	0.07490248955
912	0.07483250642
913	0.07477275962
914	0.0747522148
915	0.07464101666
916	0.07458157086
917	0.07451689298
918	0.07447078181
919	0.07440756518
920	0.07436281
921	0.07428509231
922	0.07418883457
923	0.07413352985
924	0.07408732474
925	0.07402065068
926	0.07396160159
927	0.07389284364
928	0.07383647182
929	0.07374825662
930	0.07365696555
931	0.07362524926
932	0.07359459757
933	0.07354111804
934	0.07349980566
935	0.07344504002
936	0.07338845704
937	0.07334036109
938	0.07329131642
939	0.07325789821
940	0.07317365436
941	0.07314261019
942	0.07311926028
943	0.07310696829
944	0.07304392456
945	0.07294285691
946	0.07293268626
947	0.07283197734
948	0.07281884328
949	0.07276775553
950	0.07272993603
951	0.07266581427
952	0.07258452967
953	0.07249744701
954	0.07239017651
955	0.07232441451
956	0.07222417657
957	0.07216207153
958	0.07213198551
959	0.07212408738
960	0.07206982591
961	0.07201668473
962	0.07196796883
963	0.0719192373
964	0.07190421023
965	0.0718569579
966	0.07182423616
967	0.07177450104
968	0.07172679228
969	0.07168518493
970	0.07166293062
971	0.07161306645
972	0.07156047916
973	0.07153260979
974	0.07148469695
975	0.07140644694
976	0.07135805919
977	0.07132166197
978	0.07128005257
979	0.07124992642
980	0.07115401436
981	0.07110065571
982	0.07109006028
983	0.07100894969
984	0.0709344166
985	0.0708812967
986	0.07081770415
987	0.07073044618
988	0.07070289951
989	0.07066289611
990	0.0706239726
991	0.07057671783
992	0.07053343548
993	0.07048025022
994	0.07041306891
995	0.07035136818
996	0.07030570859
997	0.07025602666
998	0.07021977409
999	0.07017748959
